"CUESTIONARIO","CCAA","TIPO","TIPOINT","DCP1","DCP2","DCP3","DCP4","CFZP05","CFZP06","CFZP07","CFZP08","CFZP09","CFZP10","CFZP11","CMPP12","CMPP13","CMPP14","CMPP15","CMPP16","BENCOP17","BENCOP18","BENCOP19","BENCOP20","BENCOP21","BENCOP22","BENSOP23","BENSOP24","BENSOP25","BENSOP26","BENSOP27","BENTEP28","BENTEP29","BENTEP30","BENTEP31","BENTEP32","SACRELP33","SACRELP34","SACRELP35","SACCOSP36","SACCOSP37","SACCOSP38","VALRELP39","VALRELP40","VALRELP41","VALRELP42","SATP43","SATP44","SATP45","SATP46","SATP47","SATP48","LOYP49","LOYP50","LOYP51","REQP52","REQP53","REQP54","REQP55","REQP56","REQP57","REAP58","REAP59","REAP60","REAP61","RSQP62","RSQP63","RSQP64","RSQP65","RLP66","RLP67","RLP68","RLP69","RLP70","RLP71","RLP72","RLP73","REGP74","REGP75","REGP76","REGP77","TICP78","TICP79","TICP80","TICP81","TICP82","TICP83","TICP84","TICP85","TICP86","ITTICP87","ITTICP88","ITTICP89","ITTICP90","ITTICP91","ITTICP92","ITTICP93","ITTICP94","ITTICP95","ITTICP96","ITTICP97","ITTICP98","ITTICP99","ITTICP100","ITTICP101","ITTICP102","ITTICP103","ITTICP104","ITTICP105","INRELP106","INRELP107","INRELP108","INRELP109","INRELP110","INRELP111","CAPRELP112","CAPRELP113","CAPRELP114","CAPRELP115","CAPRELP116","CAPRELP117","CAPRELP118","CAPRELP119","CAPRELP120","CAPRELP121","EMPRESA","DIRECCION","CP","TEL","MUNICIPIO","PROVINCIA","ENTREVISTADO","PROVEEDOR","VENTAS2013","INVERSTIC2013","lon","lat"
175,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,20,90,1,7,6,7,6,7,7,7,6,7,7,7,7,7,7,7,6,7,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,3,3,3,6,6,6,6,6,6,6,6,3,5,Neutral,Neutral,Neutral,2,3,3,3,3,3,3,3,Neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,3,3,3,3,3,3,6,6,6,6,7,5,5,5,6,2,"RIANSANO","XIFRÉ, 59",8026,"933 47 93 17","BARCELONA","BARCELONA","ÁNGELES - GERENTE","PER TUTTI - BARCELONA",NA,NA,2.1817951,41.4101149
176,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,5,40,7,5,6,5,5,5,5,5,5,5,5,Neutral,5,Neutral,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5,Neutral,3,3,3,3,Neutral,5,Neutral,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,3,Neutral,Neutral,2,5,5,6,6,6,6,6,6,6,6,5,5,6,6,6,5,5,6,5,6,6,5,5,6,6,6,6,"SUNE BY SN, S. L.","RAMBLA CATALUNYA, 68",8007,"932 72 51 91","BARCELONA","BARCELONA","JAVIER - GERENTE","TEXTILE - ITALIA",NA,NA,2.1629241,41.3916618
177,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,7,40,4,5,5,Neutral,Neutral,5,6,6,5,5,5,5,5,5,5,5,5,5,5,Neutral,5,Neutral,5,Neutral,3,3,3,3,3,5,5,5,5,3,5,5,5,5,5,5,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,Neutral,Neutral,3,3,3,5,5,5,3,3,5,5,5,3,3,3,3,3,3,2,2,2,3,2,2,3,3,1,1,1,1,1,1,5,1,1,1,6,1,1,1,6,1,1,1,1,2,2,2,2,2,2,6,6,6,7,6,Neutral,Neutral,Neutral,6,3,"VANILLA & COFFEE","BENET MATEU, 62-64",8,"932 05 30 56","BARCELONA","BARCELONA","CLAUDINE SÁNCHEZ - GERENTE","AMERICAN VINTAGE - IRÚN",70000,1000,2.1260182,41.3951425
178,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,6,85,3,5,5,5,5,5,5,5,5,Neutral,6,5,5,Neutral,5,5,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,Neutral,5,5,5,6,5,7,7,7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,Neutral,5,5,Neutral,Neutral,5,6,2,2,2,2,2,2,2,2,2,2,2,3,2,Neutral,Neutral,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,5,5,5,5,Neutral,"MARÍN Y CARBONELL, S. L.","TRAPADELLA, 15",8755,"937 72 38 90","CASTELLBISBAL","BARCELONA","JOSEP CARBONELL - GERENTE","NO CONSTA - SHANGAI (CHINA)",3e+05,3000,1.9892344,41.4650722
179,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,7,20,15,6,6,6,5,6,7,5,5,6,6,6,5,6,6,6,5,5,5,Neutral,Neutral,5,5,3,3,3,3,3,3,5,5,5,5,4.711,1,1,1,1,1,2,6,5,7,5,6,6,6,6,3,2,5,2,2,2,2,2,2,2,3,3,3,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,Neutral,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,5,6,6,6,6,1,"J. B. BRACONS, S. L.","MANCOMUNITAT, 15-17",8290,"936 91 85 43","CERDANYOLA","BARCELONA","JOAQUIM - PROPIETARIO","BOWER ROEBUCK - INGLATERRA",350000,NA,2.1461614,41.4962179
180,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,5,20,20,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,5,Neutral,Neutral,2,5,2,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,6,2,7,2,2,2,Neutral,6,6,5,7,7,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,Neutral,5,5,5,5,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,7,7,1,1,7,7,1,1,1,1,1,1,1,2,2,2,6,6,6,7,5,6,6,6,6,1,"DECCOTEXT LLAR, S. L.","PRATS DEL REI, 6",8700,"938 03 05 49","IGUALADA","BARCELONA","SALVADOR ROMERO - ADMINISTRADOR","DELAMEN - BARCELONA",NA,NA,1.6129111,41.5875306
181,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,10,80,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,Neutral,Neutral,Neutral,5,5,Neutral,Neutral,2,5,5,6,6,5,6,6,2,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,"BRAUTEX","NARCÍS GIRALT, 15",8202,"937 26 00 39","SABADELL","BARCELONA","FERNANDO - JEFE TIENDA","TELAS BRAUTEX - BARCELONA",NA,2000,2.1106042,41.5461743
182,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,7,50,4,5,5,Neutral,Neutral,5,7,6,5,6,6,6,5,5,6,5,3,6,6,5,5,Neutral,5,Neutral,5,5,5,5,5,6,5,6,Neutral,Neutral,5,3,3,3,3,5,5,2,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,Neutral,2,2,Neutral,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,2,2,2,2,2,2,5,5,6,7,6,5,6,6,6,3,"LA BAIXADA TEIXITS","PL. DE L'ANGEL, 6",8202,"937 25 11 85","SABADELL","BARCELONA","EVA - ENCARGADA","NO CONSTA - CATALUNYA",NA,NA,2.1087066,41.5491933
183,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,80,20,15,6,6,5,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,6,6,6,6,6,6,3,3,3,3,Neutral,5,1,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,Neutral,2,2,2,5,5,5,Neutral,3,6,6,6,5,Neutral,Neutral,Neutral,Neutral,2,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,1,1,5,2,1,1,5,5,1,1,1,1,2,2,2,2,2,2,6,6,6,7,7,5,7,7,7,3,"VENTURA, C. B.","VIA DE MASSAGUÉ, 5",8201,"937 25 17 39","SABADELL","BARCELONA","PAQUITA - PROPIETARIA","NO CONSTA - CATALUNYA",1e+05,NA,2.1078872,41.5491539
184,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,30,20,40,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,3.916,Neutral,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,Neutral,5,Neutral,5,5,5,5,5,5,5,5,5,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,1,1,1,1,7,5,1,1,1,5,Neutral,1,1,Neutral,1,1,1,1,1,1,1,1,1,1,2,6,6,6,6,6,5,6,6,6,Neutral,"TEIXITS CASA REUS","POMPEU FABRA, 40",8922,"933 86 02 78","STA. COLOMA GR.","BARCELONA","MONTSERRAT - ENCARGADA","NO CONSTA - VALÈNCIA",NA,NA,2.2067557,41.4499755
185,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,1,Proveedor exclusivo,0,5,5,Neutral,3,5,7,5,2,Neutral,Neutral,Neutral,2,Neutral,5,5,3,5,5,5,5,3,5,3,Neutral,Neutral,3,3,3,5,Neutral,5,3,3,5,7,7,7,7,3,5,2,6,5,5,5.98,5,6.06,2,2,5,2,2,2,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,Neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,2,2,2,2,2,5,5,5,7,5,Neutral,5,5,6,3,"EL TELAR","DEL SOL, 3",8840,"936 37 35 63","VILADECANS","BARCELONA","LUISA - PROPIETARIA","LA PAÑERA - SABADELL",NA,NA,2.0189588,41.315914
186,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,30,30,18,5,5,Neutral,Neutral,5,5,5,5,6,6,6,5,6,5,6,Neutral,6,6,5,5,5,5,5,5,5,3,3,3,5,5,5,3,5,6,5,5,5,5,5,5,6,7,6,6,5,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,3,3,3,5,5,5,5,Neutral,5,5,5,5,Neutral,Neutral,Neutral,Neutral,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,2,2,2,2,2,2,5,5,6,7,7,5,6,6,5,5,"SAPOVI, S. L.","PELEGRÍ BALLESTER, 26",8800,"938 93 59 55","VILANOVA GELTRÚ","BARCELONA","POLICARPO APARICIO - PROPIETARIO","REIG MARTÍ - ALBAIDA",NA,NA,1.7218079,41.2220992
187,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,8,40,8,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,5,Neutral,Neutral,5,Neutral,Neutral,Neutral,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Neutral,Neutral,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,"TEIXITS LA ROSA","VILA-REAL, 12",8800,"938 93 09 31","VILANOVA GELTRÚ","BARCELONA","ENRIC FERRÉ - ADMINISTRADOR","NO CONSTA - CHINA",6e+05,3000,1.7146085,41.2254327
188,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,25,30,15,5,Neutral,Neutral,3,Neutral,5,3,2,3,Neutral,Neutral,1,Neutral,Neutral,Neutral,3,Neutral,1,2,2,1,Neutral,1,2,2,2,2,2,Neutral,Neutral,Neutral,2,1,1,2,2,2,2,2,Neutral,5,6,5,5,5,5,5,6,6,6,2,2,2,5,6,6,5,Neutral,Neutral,Neutral,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,Neutral,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,2,6,5,5,5,1,"VELPUNT, S. L.","CARME, 12",25007,"973 23 63 52","LLEIDA","LLEIDA","NO DA DATOS","NO CONSTA",NA,NA,0.6298963,41.6190018
189,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,4,90,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,Neutral,3,3,3,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,"MERCAMODA","JAUME I, 12",43005,"977 11 37 50","TARRAGONA","TARRAGONA","LUCÍA - GERENTE","CHINA TOW - CHINA",NA,2500,1.2450413,41.1153676
190,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,38,15,99,7,7,6,6,6,7,7,5,6,7,7,5,6,6,6,Neutral,6,6,7,7,7,7,7,6,6,6,5,5,7,7,7,1,6,Neutral,6,6,7,6,7,7,7,7,7,7,7,7,7,6,5,6,6,5,5,6,6,6,6,6,6,6,6,7,7,6,6,7,7,6,Neutral,6,5,6,6,2,2,2,1,2,3,2,1,3,1,5,7,1,1,1,6,1,5,6,1,1,1,Neutral,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,5,6,6,5,1,"MÍNIMUM","GOBERNADOR GONZÁLEZ, 16",43001,"977 23 04 64","TARRAGONA","TARRAGONA","JORGE FIGUERAS - PROPIETARIO","MASSANA - MATARÓ",NA,NA,1.2507882,41.1152442
191,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,9,45,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,3,3,2,3,3,2,Neutral,3,6,6,2,Neutral,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,6,6,6,6,6,6,6,"COLCHONERIA EL DRAC","VERGE DEL CAMÍ, 7",43850,"977 79 57 42","CAMBRILS","TARRAGONA","RAFAEL - JEFE TIENDA","COLCHONES H. R. - ALACANT",550000,NA,1.0522201,41.0732317
192,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,8,30,7,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,5,5,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,5,5,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,3,3,3,3,2,2,2,2,2,3,3,Neutral,3,5,5,2,Neutral,Neutral,3,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"EL BARATO","MAJOR, 21",43201,"977 34 43 23","REUS","TARRAGONA","AMALIA - ENCARGADA","NO CONSTA - SHANGAI (CHINA)",NA,2000,1.1093889,41.1542031
193,Catalunya,Tienda independiente,Tienda independiente,Textil y Calzado,10,70,6,6,6,5,5,6,5,5,5,5,6,5,5,Neutral,5,6,3,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,6,6,7,6,7,7,6,5,6,6,7,7,7,7,7,7,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Neutral,5,5,5,5,3,2,2,5,3,2,2,5,Neutral,2,2,2,2,2,2,2,1,3,3,3,Neutral,3,5,5,1,3,1,2,2,2,2,2,2,2,6,5,5,7,5,Neutral,5,5,5,5,"TEIXITS CORTÉS","AVENIR, 21",43800,"977 60 44 08","VALLS","TARRAGONA","ANDREU - JEFE TIENDA","PATCHWORK - FRANCIA",NA,3000,1.2537762,41.2872107
194,Catalunya,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,70,8,99,7,7,7,5.41,5,7,7,5.266,7,7,5,5,7,5,7,5,5,6,6,6,6,6,5,Neutral,Neutral,5,5,5,5,6,5,5,5,6,1,1,1,1,5,7,5,7,6,5,7,2,5,Neutral,6,4.841,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,Neutral,Neutral,3,3,Neutral,7,5,5,5,1,1,1,1,1,1,1,1,1,5,6,1,1.476,6,1,1,1,1,1,5,3,5,Neutral,Neutral,Neutral,6,7,6,6,6,6,6,6,6,Neutral,"BRESCO Y BLASI, S. A.","SANTA ANNA, 26-28",8002,"933 02 47 86","BARCELONA","BARCELONA","ORIOL - GERENTE","NO CONSTA - MADRID",NA,1000,2.1719182,41.3856133
195,Catalunya,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,26,Proveedor exclusivo,0,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,1,1,1,1,1,1,6,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,5,6,6,6,6,6,6,7,6,6,6,7,7,2,6,6,6,6,5,Neutral,Neutral,Neutral,5,5,Neutral,7,6,1,1,7,7,7,7,7,1,1,7,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,6,6,"BRUNET ELECTRODOMÈSTICS","GALILEU, 35-37",8028,"933 30 13 00","BARCELONA","BARCELONA","TONI - RESPONSABLE","SACSE - RUBÍ",1500000,NA,2.1354717,41.376962
196,Catalunya,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,23,25,80,6,6,6,6,5,6,5,6,6,7,6,5,5,6,6,6,6,6,5.548,5,6,5,7,6,6,6,5,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,5,6,5,5,6,5,5,5,6,6,6,5,5,5,5,6,7,7,7,5,5,5,6,5,6,6,5,6,6,5,6,1,1,1,Neutral,6,6,5,5,6,1,1,Neutral,3,1,1,1,1,1,7,7,1,1,7,1,1,3,1,1,Neutral,3,3,Neutral,3,Neutral,5,6,6,7,7,Neutral,6,5.736,6,5,"CATPHONE.NET, S. L.","PASSEIG ST. JOAN, 197",8037,"932 84 29 92","BARCELONA","BARCELONA","JAUME JIMÉNEZ - DTOR. GENERAL","NO CONSTA - FUERA DE ESPAÑA",1.5e+07,NA,2.163041,41.4039595
197,Catalunya,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,6,20,30,6,6,6,6,6,6,6,5,5,6,5,5,5,6,6,5,6,6,Neutral,5,Neutral,5,Neutral,5,5,Neutral,Neutral,Neutral,6,5,6,6,Neutral,5,5,Neutral,6,1,Neutral,5,5,6,6,5,Neutral,5,6,6,6,6,5,5,5,Neutral,5,3,3,6,6,6,5,5,Neutral,Neutral,Neutral,5,6,6,Neutral,5,5,Neutral,5,1,1,3,1,5,6,5,Neutral,5,1,1,2.307,Neutral,1,1,1,1,1,7,5,1,1,7,7,1,1,1,1,1,Neutral,1,5,5,5,6,6,6,6,6,6,5,6,5,6,"COM 2 - COMPUTER COMPANION, S. L.","SEPÚLVEDA, 153",8011,"931 77 88 12","BARCELONA","BARCELONA","JOAN RIBELLES - INFORMÁTICO","NO CONSTA - BARCELONA",NA,NA,2.1612371,41.3824783
198,Catalunya,Tienda independiente,Tienda independiente,Electrónica y Electrodomésticos,6,40,3,6,6,6,6,6,7,6,5,5,7,6,5,6,6,6,6,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,6,6,6,6,5,6,6,6,5,5,5,Neutral,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,Neutral,Neutral,3,3,3,3,3,3,3,3,Neutral,3,1,5,Neutral,Neutral,5,3,5,5,1,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,6,5,5,6,5,5,5,5,5,Neutral,"ELCOM, SERVICIOS Y COMUNICACIONES, S. L.","MARIÀ CUBÍ, 29",8006,"93 2 17 05 95","BARCELONA","BARCELONA","ERIC - GERENTE","ZOCALAO - BARCELONA, MADRID",NA,NA,2.1502055,41.3985259
199,Catalunya,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,3,61.76,17.42,7,7,7,6,7,7,7,6,6,7,7,6,7,7,7,Neutral,6,6,Neutral,Neutral,Neutral,Neutral,6,6,6,6,6,5,7,5.868,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,7,7,7,6,7,7,7,Neutral,Neutral,5,5,5,5,Neutral,Neutral,5,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,6,6,6,6,5,5,6,5,6,6,6,7,2,2,2,1,7,1,7,7,7,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,2,2,2,2,2,2,7,7,7,7,7,7,7,7,6,6,"ELECTRO LLAGOSTERA, S. L.","TRAVESSERA DE DALT, 9",8024,"932 17 83 34","BARCELONA","BARCELONA","ROSER LLAGOSTERA - ADMINISTRADORA","ELDISSER - VALÈNCIA",NA,NA,2.1511059,41.4083672
200,Catalunya,Tienda franquiciada,Tienda integrada,Electrónica y Electrodomésticos,8,30,12,5,5,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,5,5,5,5,Neutral,Neutral,5,5,5,5,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,Neutral,3,3,3,1,5,5,5,5,3,5,5,2,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,"ELECTRO NORMA, S. A.","VIA LAIETANA, 38",8010,"932 68 34 53","BARCELONA","BARCELONA","ROSA - JEFA DEPARTAMENTO","SACSE - BARCELONA",160000,5500,2.1765916,41.3859849
201,Catalunya,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,32,60,4,7,5,5,5,5,7,5,7,5,5,7,Neutral,Neutral,Neutral,7,Neutral,Neutral,7,7,Neutral,Neutral,7,1,1,1,1,1,1,7,Neutral,1,7,7,7,7,7,7,5.636,7,7,7,7,7,7,7,7,7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,6,5,6,6,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,5,5,5,5,1,1,1,1,7,7,7,7,6,Neutral,7,7,7,7,7,6,1,7,6,1,1,7,7,7,1,1,1,1,Neutral,Neutral,Neutral,7,7,7,7,5,5,7,7,Neutral,7,7,7,7,"ELECTRO NÚRIA","MALLORCA, 592",8026,"932 32 47 64","BARCELONA","BARCELONA","JUAN PABLO FONTS - PROPIETARIO","EXPERT - MARTORELL",7e+05,2000,2.1850773,41.4104275
202,Catalunya,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,20,60,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,Neutral,Neutral,Neutral,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,Neutral,Neutral,Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral,6,5,Neutral,5,5,5,Neutral,3,3,3,3,3,3,Neutral,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,Neutral,3,Neutral,2,5,Neutral,Neutral,Neutral,5,5,5,5,5,Neutral,Neutral,5,6,Neutral,3,Neutral,Neutral,Neutral,Neutral,Neutral,2,5,Neutral,5,6,5,6,6,2,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,7,6,5,5,5,5,Neutral,"FRUNSOMER, S. L.","CONCA DE TREMP, 18-BIS",8032,"933 57 97 13","BARCELONA","BARCELONA","SAMUEL - SUPERVISOR","COFAT - FRANCIA",NA,4000,2.155372,41.423547
203,Catalunya,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,3,90,1,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,5,6,6,6,6,6,6,"HABLA EN VERDE, S. L.","AV. DIAGONAL, 3",8019,"933 56 05 70","BARCELONA","BARCELONA","KIKE - JEFE VENTAS","ORANGE - BARCELONA",NA,10000,2.2165956,41.4096507
204,Catalunya,Tienda sucursalista,Tienda integrada,Electrónica y Electrodomésticos,25,Proveedor exclusivo,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Neutral,6,6,6,7,6,7,1,1,1,1,1,1,7,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,Neutral,5,5,5,6,6,5.159,5,5,6,7,6,2,5,5,5,5,3,3,3,1,7,7,6,1,7,1,7,7,1,7,7,6,1,7,7,1,1,1,7,7,1,1,1,1,2,2,2,5,5,5,6,7,7,7,7,7,7,7,6,6,"IGLESIS ELECTRODOMÈSTICS, S.A.","VIA LAIETANA, 24",8003,"933 19 93 51","BARCELONA","BARCELONA","PERE - GERENTE","ACTIVA - TARRAGONA",1500000,NA,2.178339,41.3844232
